language,created_at,watchers_sum,forks_sum,count
XQuery,2011-02-17,44,28,4
Visual Basic,2012-03-29,2,2,2
Powershell,2011-12-02,2,2,2
ASP,2010-04-30,1,1,1
Visual Basic,2012-03-16,44,44,44
Coq,2011-10-16,1,1,1
HaXe,2010-08-26,155,24,8
Smalltalk,2012-02-22,2,2,2
Powershell,2011-10-26,8,16,8
Visual Basic,2012-03-13,31,31,31
Elixir,2012-03-27,1,0,1
Powershell,2011-01-12,0,1,1
Arduino,2012-03-07,25,25,25
Pure Data,2012-01-20,2,2,2
Visual Basic,2011-12-13,257,66,10
FORTRAN,2011-06-27,127,4,27
Smalltalk,2012-03-12,3,0,3
PowerShell,2011-11-16,2,2,2
FORTRAN,2012-03-12,79,71,76
Delphi,2011-12-27,21,7,4
Vala,2012-03-19,1,1,1
HaXe,2011-07-21,3557,78,39
F#,2010-08-18,12,4,1
FORTRAN,2011-06-26,75,50,25
AutoHotkey,2011-01-24,125,24,6
PowerShell,2011-11-18,1,1,1
Delphi,2009-09-24,1,1,1
Prolog,2012-03-14,12,12,10
Rust,2012-02-29,9,9,9
Vala,2012-03-16,3,3,3
Objective-J,2011-08-11,28,18,2
Vala,2012-01-10,30,15,15
HaXe,2012-02-03,2,2,2
F#,2011-11-26,5,0,3
Objective-J,2011-03-14,8,2,1
Racket,2012-03-26,4,2,2
Boo,2010-05-08,28,8,1
Rust,2011-09-09,1,0,1
Objective-J,2012-03-04,134,23,13
Coq,2012-03-28,4,4,4
Tcl,2010-08-04,6,2,2
FORTRAN,2011-05-14,9,8,1
AutoHotkey,2012-03-08,120,43,43
Arduino,2012-01-03,6,3,3
Arduino,2012-02-23,9,8,8
Arduino,2012-03-23,30,19,28
Io,2011-10-30,22,4,1
HaXe,2012-02-26,27,27,27
Visual Basic,2012-03-30,3,2,3
Smalltalk,2011-10-06,7,7,7
HaXe,2011-08-07,213,12,4
VHDL,2012-03-09,14,12,13
Racket,2012-03-22,3,3,3
F#,2010-12-08,11,2,1
Vala,2012-03-06,3,1,3
VHDL,2012-03-17,2,1,1
VHDL,2012-03-12,13,13,13
Factor,2012-03-24,1,1,1
Ada,2012-01-22,41,41,41
XQuery,2012-01-14,31,31,31
HaXe,2012-02-24,4,4,4
Vala,2012-02-15,18,18,18
VHDL,2012-02-08,15,15,15
Arduino,2011-12-10,5,1,1
Verilog,2012-01-25,36,18,18
Prolog,2011-09-30,6,6,6
Coq,2011-07-27,15,0,15
Arduino,2012-03-31,3,3,3
Modelica,2012-02-13,2,0,1
FORTRAN,2012-02-10,4,4,4
Standard ML,2012-01-16,13,13,13
F#,2012-03-07,13,5,3
Racket,2012-03-07,15,0,9
Gosu,2012-03-30,2,0,1
Pure Data,2012-01-17,5,5,5
Elixir,2012-03-22,1,1,1
HaXe,2011-03-31,70,15,5
Gosu,2012-03-12,11,11,6
FORTRAN,2011-06-21,1393,1289,42
Arduino,2011-07-15,2,2,2
Apex,2012-03-25,1,0,1
Delphi,2009-03-13,15,0,2
VHDL,2011-03-08,7,4,1
Pure Data,2010-05-18,205,25,5
FORTRAN,2012-03-15,10,10,9
Tcl,2010-10-25,42,14,7
ASP,2012-02-16,3,2,1
Delphi,2011-12-30,5,5,5
Prolog,2012-02-23,5,5,5
Smalltalk,2012-03-24,5,0,5
XQuery,2010-05-04,27,9,2
Vala,2009-04-30,9,0,3
Delphi,2010-12-19,12,0,6
Racket,2012-03-04,1,1,1
Delphi,2011-08-25,20,20,20
VHDL,2011-08-04,15,6,1
Prolog,2011-12-19,1,1,1
F#,2012-03-13,2,2,2
Delphi,2010-07-02,200,66,7
ASP,2011-02-21,2,2,2
Arduino,2012-01-02,1,1,1
Arduino,2012-03-11,4,4,3
Racket,2008-10-19,626,224,32
Delphi,2012-02-28,2,2,2
Eiffel,2012-03-05,1,1,1
Prolog,2012-02-27,1,1,1
Dylan,2011-03-04,1003,187,17
HaXe,2012-03-25,61,38,42
Delphi,2012-02-24,16,15,15
Vala,2012-03-22,3,3,3
Visual Basic,2012-03-19,27,27,27
Tcl,2011-01-04,2,2,2
Elixir,2012-03-24,70,16,43
Verilog,2011-11-26,49,3,3
Verilog,2010-10-15,7,2,1
F#,2012-03-17,21,15,15
Tcl,2012-03-21,266,142,128
Vala,2012-02-06,98,98,49
Prolog,2009-06-08,35,31,1
PowerShell,2012-01-08,8,4,1
Arc,2011-01-05,6,1,1
PowerShell,2012-03-23,1,1,1
Visual Basic,2010-12-01,2,2,1
Verilog,2009-08-17,109,24,3
Verilog,2011-10-31,28,4,4
Rust,2012-02-25,12,12,6
Smalltalk,2012-03-09,122,86,86
Racket,2012-02-09,7,4,5
Arc,2008-03-14,3093,360,12
VHDL,2011-07-06,12,12,12
AutoHotkey,2012-03-29,3,3,3
Delphi,2011-01-27,5,1,1
Coq,2012-03-11,30,30,30
Vala,2012-02-02,97,59,38
AutoHotkey,2012-03-03,3,3,3
Arduino,2012-01-29,3,3,3
Objective-J,2010-10-17,9,1,1
Visual Basic,2009-05-05,8,0,4
Prolog,2012-01-05,30,30,30
Tcl,2011-12-18,1,1,1
Elixir,2012-03-15,5,5,5
Arc,2009-07-14,2,2,1
Vala,2011-05-16,11,4,2
F#,2011-02-22,10,2,1
ASP,2011-09-09,2,0,1
Boo,2012-03-09,98,49,49
Pure Data,2012-03-29,6,3,3
Delphi,2011-08-01,3,3,3
Verilog,2011-05-19,233,46,2
Delphi,2012-01-30,4,4,4
Eiffel,2012-02-10,2,0,2
Verilog,2012-01-23,2,1,1
Eiffel,2011-11-30,3,0,3
Tcl,2011-02-12,3,2,2
FORTRAN,2011-06-15,1,1,1
Powershell,2011-07-20,18,12,6
Eiffel,2011-06-29,120,30,30
AutoHotkey,2012-01-11,21,17,10
OpenEdge ABL,2012-01-11,7,3,3
Objective-J,2011-04-11,12,5,1
Tcl,2012-02-12,7,3,5
Prolog,2012-03-17,6,6,6
Rust,2012-03-11,32,26,19
AutoHotkey,2009-04-06,501,72,12
Arduino,2011-12-29,3,1,1
FORTRAN,2010-12-01,1,1,1
FORTRAN,2012-01-11,6,4,5
Ada,2012-03-05,107,53,53
Coq,2011-03-30,2,2,2
Rust,2011-12-14,20,12,7
Objective-J,2011-05-24,123,41,41
Visual Basic,2012-03-14,4,1,4
Eiffel,2010-08-16,1,1,1
HaXe,2010-07-08,87,36,9
FORTRAN,2011-05-15,1,0,1
Nu,2008-05-23,52,5,1
HaXe,2010-10-08,6,2,2
Arduino,2012-03-17,26,19,21
HaXe,2012-03-08,2,2,2
AutoHotkey,2011-10-10,4,3,1
Prolog,2012-03-04,2,2,2
FORTRAN,2011-07-22,21,8,8
F#,2010-06-06,6,3,3
HaXe,2012-03-14,16,16,16
HaXe,2011-10-22,1,1,1
Prolog,2011-09-09,1,1,1
Objective-J,2010-12-10,2,0,2
Smalltalk,2012-03-17,2,2,2
Max/MSP,2012-03-18,20,20,20
Racket,2012-02-06,1,1,1
ASP,2012-03-13,5,5,5
PowerShell,2012-03-30,6,5,6
SuperCollider,2011-11-06,12,3,3
Delphi,2011-06-30,1,1,1
FORTRAN,2011-12-27,11,11,11
Racket,2011-06-14,1,0,1
XQuery,2011-12-09,1,0,1
HaXe,2012-03-29,62,19,19
Delphi,2012-02-26,2,2,2
Pure Data,2012-01-09,132,11,25
F#,2011-01-02,19,3,1
Vala,2012-03-03,2,1,1
F#,2011-04-12,10,6,2
Boo,2010-04-07,8,2,1
ASP,2012-02-24,3,0,3
HaXe,2011-11-29,4,1,2
Visual Basic,2011-02-27,1,1,1
Prolog,2012-03-24,2,2,2
Racket,2011-09-16,10,2,2
F#,2012-02-23,2,2,2
Delphi,2011-10-06,185,35,7
Rust,2011-04-27,5,0,5
Coq,2011-04-26,5,5,5
F#,2010-10-10,31962,6464,286
SuperCollider,2010-11-24,60,24,12
Visual Basic,2011-10-20,1,1,1
Verilog,2011-07-29,4,3,3
Visual Basic,2010-08-23,6,1,1
ASP,2012-03-30,7,6,7
Tcl,2012-02-15,22,22,22
Arduino,2012-03-16,23,23,23
F#,2012-03-09,14,14,14
Vala,2011-07-30,3,1,1
Delphi,2012-03-25,2,2,2
Ada,2011-03-18,18,6,6
Prolog,2012-02-11,18,11,11
FORTRAN,2012-01-09,2,2,2
Verilog,2011-02-12,2,1,1
FORTRAN,2011-12-14,32,11,11
Verilog,2010-10-04,142,16,4
HaXe,2010-04-08,4,2,1
AutoHotkey,2012-03-17,14,7,7
HaXe,2012-02-18,255,145,120
FORTRAN,2012-03-29,3,3,3
Rust,2012-01-14,5,0,5
VHDL,2012-02-29,102,64,64
Visual Basic,2011-10-10,1,1,1
Visual Basic,2010-07-16,7,3,1
Verilog,2011-02-01,4,3,1
F#,2012-03-12,8,8,8
XQuery,2011-08-21,118,8,8
ASP,2012-03-27,6,6,6
Delphi,2012-03-03,6,6,6
Verilog,2012-03-16,1,1,1
Visual Basic,2010-11-20,122,4,2
ASP,2012-03-29,1,1,1
Prolog,2011-12-09,1,1,1
Prolog,2012-01-16,4,4,4
Arduino,2010-12-29,3,3,3
PowerShell,2010-04-05,117,27,3
Eiffel,2012-03-16,46,0,30
Scilab,2012-02-08,149,91,91
Standard ML,2010-08-13,11,11,11
ASP,2012-03-16,23,23,13
VHDL,2012-01-05,1,1,1
Verilog,2011-04-24,2,0,2
Tcl,2010-11-11,8,3,1
Prolog,2012-03-28,2,2,2
Powershell,2012-03-15,27,16,16
Verilog,2011-12-04,2,2,2
Pure Data,2011-02-20,1,1,1
FORTRAN,2012-03-23,2,2,2
Factor,2009-03-24,6282,2025,34
Prolog,2012-01-07,7,2,2
Delphi,2011-06-29,6,3,3
Powershell,2012-03-09,6,6,6
Apex,2012-01-03,30,9,3
Tcl,2011-10-10,4,4,4
Rust,2012-01-13,3,3,3
Objective-J,2012-02-24,394,104,52
Verilog,2010-10-22,379,176,26
Arduino,2011-11-09,1,1,1
Verilog,2012-03-17,5,5,5
Pure Data,2012-03-13,18,10,10
Smalltalk,2010-12-11,4,1,1
Io,2010-01-24,11,3,1
Vala,2012-02-11,9,9,9
HaXe,2010-06-02,128,80,8
Racket,2011-09-10,2,2,2
Verilog,2011-03-26,394,182,13
Arduino,2012-02-25,8,8,7
Arduino,2011-10-17,27,6,2
Arduino,2012-02-14,14,14,14
FORTRAN,2011-09-26,7,7,2
Vala,2011-03-18,11,11,11
Visual Basic,2012-02-23,6,2,3
Modelica,2011-12-04,52,52,52
FORTRAN,2011-09-28,9,3,6
Delphi,2010-08-25,4,3,1
Tcl,2009-08-31,147,42,21
Arc,2010-10-29,29,12,2
Racket,2011-08-29,10,10,10
Arduino,2012-02-20,14,14,14
ASP,2012-03-22,22,22,22
Elixir,2012-03-29,2,0,2
Prolog,2012-03-05,1,1,1
Verilog,2012-03-20,7,7,7
Io,2010-12-18,6,6,3
AutoHotkey,2012-03-19,10,10,10
Vala,2011-06-04,873,150,15
HaXe,2012-03-22,4,4,4
Delphi,2012-01-09,2,2,2
Powershell,2012-02-20,1,1,1
Rust,2011-06-21,17,4,1
FORTRAN,2011-09-29,1,1,1
ooc,2010-03-07,7,4,1
F#,2012-03-19,6,4,6
Powershell,2012-03-21,4,4,4
Arduino,2011-05-16,308,152,12
Racket,2010-08-12,59,27,27
Rebol,2012-01-19,3,2,1
Visual Basic,2011-06-19,2,2,2
Delphi,2012-02-07,7,7,7
Gosu,2011-01-19,146,71,7
Arduino,2011-12-14,3,1,1
Prolog,2012-02-26,15,15,5
Arduino,2012-03-25,8,8,8
Arc,2012-03-23,1,1,1
OpenEdge ABL,2012-01-04,32,16,8
Visual Basic,2012-01-26,0,1,1
Rust,2012-01-28,14,13,7
VHDL,2012-03-21,1,1,1
SuperCollider,2012-03-11,10,5,5
Arduino,2012-03-27,17,14,15
VHDL,2011-11-03,2,1,1
Rust,2011-12-16,7,5,3
HaXe,2012-03-20,2,2,2
Tcl,2010-05-20,30,6,3
Visual Basic,2012-01-30,3,3,3
Powershell,2011-04-10,1930,736,45
Rust,2011-06-07,7,0,7
Fancy,2010-03-16,1145,63,7
Powershell,2011-09-01,1,1,1
Coq,2012-03-16,21,21,21
Standard ML,2012-03-02,5,5,5
F#,2011-09-08,36,0,12
Delphi,2012-01-01,13,0,13
FORTRAN,2011-08-18,4,1,1
Rust,2012-02-28,19,7,7
FORTRAN,2010-09-20,17,6,2
OpenEdge ABL,2012-03-11,35,24,8
HaXe,2011-08-02,2,1,1
FORTRAN,2012-02-03,1,0,1
Visual Basic,2011-09-15,1,1,1
F#,2011-07-09,192,60,12
ASP,2012-03-11,4,4,4
FORTRAN,2012-03-18,9,3,9
Parrot,2011-11-30,1,1,1
PowerShell,2011-06-27,1,1,1
Delphi,2012-02-25,4,4,4
F#,2011-05-29,15,2,2
Rust,2011-06-23,12,8,2
Visual Basic,2012-03-02,4,4,4
Rust,2012-01-07,41,27,10
Coq,2011-07-25,8,8,2
Rust,2012-03-06,13,0,9
Objective-J,2012-03-15,2,2,2
Objective-J,2011-06-11,915,48,3
Powershell,2011-12-23,115,35,25
F#,2012-01-13,4,0,2
F#,2012-01-26,12,3,1
Standard ML,2011-10-21,29,6,2
Vala,2011-10-12,156,52,26
Rust,2012-01-21,12,12,6
FORTRAN,2012-03-13,15,15,15
Arduino,2011-10-20,60,5,5
Io,2011-11-11,1,1,1
Tcl,2010-01-13,2775,261,29
Prolog,2010-08-09,1,1,1
Delphi,2012-02-27,8,8,8
Rust,2011-04-29,2,0,1
Standard ML,2012-03-19,1,1,1
SuperCollider,2012-03-27,3,0,3
FORTRAN,2008-10-30,69,23,23
Gosu,2012-03-13,2,0,2
Coq,2011-06-18,30,0,14
Prolog,2012-03-21,62,62,59
Vala,2010-01-30,2,2,2
FORTRAN,2012-02-25,8,8,8
Dylan,2011-03-08,1,1,1
Vala,2009-11-29,24,12,12
F#,2012-02-13,6,2,1
HaXe,2010-12-20,21,2,2
Elixir,2012-02-16,2,1,1
Racket,2012-03-27,10,10,10
Vala,2011-06-18,1,1,1
Nemerle,2012-03-14,29,13,29
Elixir,2012-03-12,10,0,10
Racket,2011-07-12,7,7,7
Pure Data,2011-09-14,2,2,2
Visual Basic,2011-06-01,6,4,2
FORTRAN,2012-02-23,2,1,1
F#,2012-01-15,8,8,8
VHDL,2012-03-19,3,3,3
Arduino,2012-02-13,5,2,2
Mirah,2010-09-09,8,4,1
Modelica,2011-12-22,49,18,2
Objective-J,2009-02-07,522,18,18
VHDL,2012-02-21,1,1,1
Visual Basic,2011-10-11,9,9,9
Nu,2011-09-16,2,1,1
Tcl,2011-09-16,8,8,8
Io,2012-03-05,4,4,4
Ada,2012-01-10,6,0,2
Prolog,2011-03-30,5,1,1
Tcl,2012-02-27,17,4,2
Objective-J,2012-03-19,9,0,9
FORTRAN,2012-03-19,2,1,2
HaXe,2012-03-19,5,5,5
Visual Basic,2011-05-22,5,2,1
Delphi,2010-09-24,5,2,2
SuperCollider,2010-05-27,14,2,2
Prolog,2012-02-06,4,4,4
Visual Basic,2010-01-06,141,42,2
XQuery,2012-02-29,152,55,19
F#,2012-03-15,10,10,10
Objective-J,2012-03-12,3,3,3
Io,2012-02-22,3,2,1
Objective-J,2012-03-22,2,2,2
Prolog,2012-03-03,5,5,5
Eiffel,2012-03-25,1,1,1
Delphi,2011-09-06,2,2,2
F#,2012-01-14,12,12,12
Pure Data,2012-03-15,54,27,27
SuperCollider,2010-05-19,98,26,18
Arduino,2012-03-22,84,68,83
Standard ML,2012-03-16,1,1,1
Apex,2012-02-27,2,2,2
Parrot,2012-01-22,1,1,1
XQuery,2012-03-01,1,1,1
Delphi,2012-01-21,52,24,12
Vala,2012-01-22,1,1,1
Rust,2012-03-22,2,1,1
Verilog,2011-01-25,7,2,2
FORTRAN,2009-12-30,65,25,2
Arduino,2012-03-10,47,47,47
Arduino,2012-01-15,14,14,14
F#,2012-03-29,4,2,2
Elixir,2012-03-21,3,3,3
Parrot,2011-02-08,615,195,15
Turing,2011-02-18,364,196,28
AutoHotkey,2012-03-07,9,2,2
HaXe,2011-12-30,1,1,1
Arduino,2012-02-29,19,7,7
HaXe,2010-07-07,435,48,3
Nemerle,2011-10-19,4,2,2
FORTRAN,2011-10-15,300,225,75
Tcl,2011-10-12,10,7,5
VHDL,2011-12-07,70,28,14
Smalltalk,2009-10-21,301,63,7
Standard ML,2011-10-31,5,5,5
HaXe,2012-01-04,4,4,2
VHDL,2012-03-06,1,1,1
Verilog,2012-03-21,9,9,9
PowerShell,2012-03-19,1,1,1
Standard ML,2011-12-14,63,63,32
Visual Basic,2012-03-20,5,4,5
Delphi,2011-12-10,2,1,1
Arduino,2011-11-30,208,26,13
Powershell,2012-03-22,12,12,12
Rebol,2011-11-04,4,2,2
AutoHotkey,2011-05-01,32,22,2
F#,2010-11-25,10,6,2
VHDL,2010-10-14,5,1,1
VHDL,2012-03-31,3,3,3
F#,2012-02-28,2,2,2
Vala,2012-01-17,8,5,1
Arduino,2011-08-29,992,284,16
Ioke,2012-03-18,1,1,1
Vala,2012-03-13,3,3,3
Objective-J,2009-10-15,30,4,1
F#,2010-08-01,61,6,2
Objective-J,2012-03-30,11,6,6
Rust,2011-05-17,3,0,1
Smalltalk,2012-01-31,110,50,12
F#,2010-05-30,6,3,3
Standard ML,2012-03-25,1,1,1
Tcl,2012-03-30,7,7,5
Prolog,2012-03-16,4,4,4
Delphi,2011-10-12,21,4,2
Prolog,2012-03-29,6,6,6
PowerShell,2011-12-30,1,1,1
Standard ML,2012-02-11,18,0,14
F#,2012-02-24,7,4,4
Rust,2012-01-10,204,22,22
Factor,2012-03-19,4,0,4
VHDL,2012-03-24,2,2,2
HaXe,2011-04-17,456,177,59
Vala,2012-01-04,3,3,1
Visual Basic,2011-10-01,3,0,3
VHDL,2011-01-28,8,8,8
Delphi,2012-03-11,6,3,6
Smalltalk,2012-02-06,8,8,8
HaXe,2012-02-22,2,2,2
Rust,2011-11-04,2,1,1
Objective-J,2012-03-11,1,1,1
Pure Data,2011-09-07,39,26,13
Elixir,2010-11-24,1,1,1
Vala,2011-12-25,13,13,13
Visual Basic,2012-03-22,9,8,9
PowerShell,2012-03-29,5,3,5
F#,2009-03-19,19,3,1
Coq,2012-03-08,5,0,5
HaXe,2011-11-08,33,1,1
Prolog,2012-02-14,4,1,1
Rust,2012-03-30,12,7,7
F#,2012-03-14,20,20,20
Elixir,2012-03-05,1,1,1
Tcl,2012-03-27,22,22,22
HaXe,2012-02-02,8,4,4
Smalltalk,2011-09-13,40,18,3
ASP,2012-03-06,8,7,4
Powershell,2012-02-25,203,203,203
VHDL,2009-07-05,3,1,1
AutoHotkey,2011-02-25,38,0,19
VHDL,2009-07-10,8,4,1
Arduino,2012-02-01,6,3,3
F#,2011-11-03,2,0,1
Arduino,2011-10-07,2,0,2
F#,2010-02-08,594,130,8
Elixir,2011-12-24,35,11,7
Powershell,2012-03-18,13,9,12
ASP,2012-03-05,1,1,1
Eiffel,2010-10-20,22,22,11
FORTRAN,2012-03-27,2,0,2
ASP,2011-02-24,10,10,10
Objective-J,2011-08-25,126,21,3
ASP,2011-01-31,5,5,5
F#,2012-03-30,2,2,2
Arduino,2011-12-11,3,3,3
AutoHotkey,2012-03-28,12,11,11
HaXe,2012-03-21,5,5,5
Prolog,2012-01-09,1,1,1
Verilog,2010-03-05,6,3,2
Rust,2012-03-27,8,0,8
Standard ML,2011-12-16,49,48,49
XQuery,2012-02-14,2,2,2
Apex,2011-06-02,12,12,12
HaXe,2010-04-25,14,1,1
Ada,2011-01-28,1,1,1
Vala,2011-08-08,594,36,12
Powershell,2011-09-19,1,1,1
Rebol,2011-03-07,5783,960,74
Verilog,2012-03-25,6,6,6
Opa,2011-12-13,10,3,3
F#,2011-04-16,616,95,14
Vala,2012-01-31,171,84,42
ASP,2012-03-12,22,22,10
FORTRAN,2009-05-05,6285,1437,58
Arduino,2012-02-16,1,0,1
Powershell,2012-03-14,31,27,31
FORTRAN,2012-03-20,17,12,14
Delphi,2012-03-21,51,48,51
XQuery,2012-03-26,10,5,5
Kotlin,2012-02-16,40,4,4
Rust,2012-01-24,128,52,31
AutoHotkey,2011-09-08,4,2,2
Verilog,2012-02-15,2,1,1
Powershell,2011-12-13,1,0,1
HaXe,2011-09-09,1,1,1
Arduino,2011-11-19,15,4,1
F#,2012-03-28,89,3,57
FORTRAN,2012-01-03,8,4,4
Racket,2012-03-15,2,0,2
ASP,2012-03-15,12,12,12
Verilog,2010-03-28,54,22,2
Rust,2012-01-06,2,0,2
OpenEdge ABL,2011-12-01,92,23,23
Rust,2012-01-12,5,2,4
ASP,2012-01-18,5,5,5
Ada,2012-03-08,7,7,7
XQuery,2011-05-19,8,2,2
FORTRAN,2012-03-09,5,5,5
AutoHotkey,2012-02-28,504,502,30
Vala,2009-12-30,47,13,1
FORTRAN,2010-04-25,6,4,2
Gosu,2011-08-01,17,10,3
FORTRAN,2011-07-03,15,0,3
PowerShell,2009-09-15,208,38,1
Eiffel,2012-03-01,165,110,55
Powershell,2011-01-14,50,5,5
Ioke,2011-06-29,46,46,46
Delphi,2010-11-06,4,3,1
Rust,2012-01-09,49,12,3
XQuery,2011-08-17,81,18,3
Boo,2012-02-12,1,1,1
Delphi,2010-12-01,68,20,4
Nemerle,2011-08-18,44,33,11
PowerShell,2011-09-10,30,6,6
Standard ML,2012-03-15,7,7,7
Standard ML,2012-03-23,10,1,10
Standard ML,2009-10-28,1310,262,131
HaXe,2011-02-17,1273,126,21
FORTRAN,2012-01-12,2,2,2
FORTRAN,2010-10-12,7,7,1
ASP,2012-02-22,8,8,8
Arduino,2012-03-12,41,40,41
Standard ML,2011-08-17,6,6,6
SuperCollider,2011-06-13,1,1,1
Verilog,2012-02-13,38,38,38
HaXe,2012-01-15,2,0,2
ASP,2012-03-07,2,2,2
Delphi,2012-02-14,604,144,142
Arduino,2011-12-04,2,1,1
Arduino,2012-01-21,134,134,59
Visual Basic,2011-11-06,1,1,1
FORTRAN,2011-09-11,1,1,1
F#,2012-01-25,1,1,1
Pure Data,2012-01-08,4,4,2
Coq,2012-02-26,3,3,3
HaXe,2011-09-17,11,3,1
Delphi,2012-03-13,4,4,4
Tcl,2010-07-26,48,6,1
Rebol,2012-03-01,4,0,4
Verilog,2012-03-02,13,13,13
HaXe,2011-07-05,15,2,1
Delphi,2011-07-04,9,3,3
Arduino,2012-01-07,3,3,3
ASP,2011-08-15,2,1,1
Vala,2012-03-28,11,0,11
Coq,2012-03-02,7,7,7
Powershell,2012-03-20,3,3,3
Verilog,2010-06-14,10,3,1
Verilog,2010-11-29,214,14,14
Racket,2012-02-07,3,3,3
F#,2012-02-21,5,2,2
Prolog,2012-02-18,1,1,1
Arduino,2012-03-26,2,2,2
Io,2012-03-27,1,1,1
FORTRAN,2012-02-11,3,0,3
Pure Data,2012-03-20,10,4,1
Arduino,2012-03-30,12,12,12
Scilab,2011-11-23,9,2,1
ASP,2012-02-03,3,3,3
Arduino,2011-03-18,8,8,8
Visual Basic,2012-03-17,20,16,16
F#,2012-03-27,5,3,4
Delphi,2012-03-15,24,7,24
HaXe,2012-01-24,1,1,1
XQuery,2011-09-14,17,3,1
Prolog,2011-09-02,1,1,1
Modelica,2012-02-10,2,1,1
F#,2012-02-17,4,2,1
Nemerle,2011-11-25,17,0,17
HaXe,2012-01-20,17,4,3
AutoHotkey,2012-01-16,9,5,5
AutoHotkey,2012-02-15,1,1,1
HaXe,2012-01-03,11,6,6
Tcl,2012-01-25,8,4,4
FORTRAN,2012-02-28,3,3,3
SuperCollider,2012-03-12,4,3,3
Delphi,2012-02-21,180,60,60
Bro,2009-10-22,18,9,9
Racket,2010-12-25,767,95,19
F#,2012-03-26,1,0,1
VHDL,2012-01-18,1,1,1
OpenEdge ABL,2012-01-03,30,9,3
Visual Basic,2012-02-18,2,2,1
Eiffel,2012-03-10,17,17,17
VHDL,2012-03-29,1,1,1
Nemerle,2012-03-22,2,1,1
Arduino,2012-02-22,10,10,6
VHDL,2012-03-23,2,2,2
Vala,2012-03-11,7,0,7
Elixir,2012-03-23,6,0,6
F#,2012-03-08,3,0,2
Prolog,2012-03-27,20,20,20
Opa,2012-03-06,4,1,1
Objective-J,2011-11-07,1,1,1
Racket,2012-01-24,2,2,1
Arduino,2012-03-20,11,11,11
Delphi,2012-03-18,1,0,1
Tcl,2011-11-08,3,3,3
Powershell,2012-02-02,1,1,1
Visual Basic,2012-03-11,24,24,24
FORTRAN,2012-01-18,8,8,8
FORTRAN,2012-02-27,6,6,6
Prolog,2012-02-22,1,0,1
PowerShell,2010-04-09,10,6,1
OpenEdge ABL,2012-02-17,10,10,10
ASP,2011-04-12,1,1,1
Delphi,2010-12-23,744,219,44
PowerShell,2011-08-31,4,4,2
Pure Data,2011-06-20,7,1,1
SuperCollider,2012-03-18,16,16,16
FORTRAN,2011-07-07,6,6,6
Objective-J,2012-03-13,11,11,11
Powershell,2012-01-26,2,2,2
Tcl,2011-11-07,2,2,2
Objective-J,2012-03-07,4,0,4
AutoHotkey,2011-10-21,5,1,1
Prolog,2012-03-30,11,11,11
Racket,2011-02-04,36,18,6
Coq,2008-11-12,1,0,1
Prolog,2010-10-18,12,1,1
F#,2012-03-23,3,0,3
Delphi,2012-03-27,11,10,11
Vala,2010-06-27,3,3,2
ASP,2012-03-28,1,1,1
Eiffel,2011-05-30,1,0,1
Objective-J,2010-04-20,118,8,1
Objective-J,2012-02-25,4,0,3
Self,2012-02-02,8,6,2
Racket,2012-03-14,21,21,21
Verilog,2011-12-11,120,36,12
Prolog,2010-03-15,5,1,1
Objective-J,2011-12-13,234,57,19
Objective-J,2012-01-26,1,0,1
Nemerle,2011-05-03,40,16,4
Elixir,2012-03-31,2,2,2
SuperCollider,2011-09-20,6,6,3
OpenEdge ABL,2012-03-20,16,8,7
Objective-J,2010-06-08,17,2,2
Delphi,2012-02-19,7,7,7
Verilog,2012-01-31,10,10,10
Ada,2011-10-25,1,1,1
AutoHotkey,2011-04-25,14,14,7
OpenEdge ABL,2010-12-06,48,16,4
FORTRAN,2011-01-17,2,2,2
Vala,2011-10-25,1,1,1
ASP,2012-03-31,10,1,10
ASP,2012-02-29,5,5,5
Vala,2012-03-20,1,0,1
Opa,2011-12-02,12,6,3
PowerShell,2011-12-20,6,2,2
Visual Basic,2012-03-27,37,37,37
Smalltalk,2010-11-29,165,45,5
Visual Basic,2011-12-05,26,6,6
Delphi,2012-03-09,4,4,4
Visual Basic,2009-05-13,66,0,6
Visual Basic,2011-11-22,3,3,3
Arduino,2011-07-06,491,97,7
Objective-J,2011-12-20,5,0,5
Tcl,2012-02-16,3,1,1
Delphi,2012-02-01,16,7,7
Apex,2011-11-16,12,2,2
Delphi,2011-01-06,2,2,2
Vala,2012-02-29,1,1,1
Rust,2012-02-09,9,3,3
Smalltalk,2012-03-28,4,3,3
XQuery,2010-04-07,56,21,3
VHDL,2011-09-13,8,8,8
Tcl,2011-02-07,9,9,9
Tcl,2011-12-23,3,1,1
SuperCollider,2011-10-23,1,1,1
Racket,2011-10-29,21,14,7
PowerShell,2011-05-11,139,13,1
Racket,2011-12-12,10,10,10
Verilog,2012-02-27,33,33,33
Arduino,2012-02-24,1,1,1
Visual Basic,2011-12-21,9,3,3
Prolog,2011-06-18,1,1,1
Rust,2011-11-17,54,44,3
HaXe,2011-10-25,85,35,7
ASP,2012-02-21,1,1,1
Vala,2010-06-19,76,40,4
ASP,2011-12-10,8,8,8
Delphi,2012-02-03,3,3,3
ASP,2012-03-21,12,12,12
F#,2011-08-27,2,1,1
Powershell,2012-03-28,2,2,2
Racket,2011-11-08,1,1,1
PowerShell,2012-03-20,2,2,2
Arduino,2012-02-07,2,2,2
Visual Basic,2012-02-21,10,10,7
VHDL,2012-02-16,31,31,14
XQuery,2012-03-19,3,3,3
ASP,2012-03-25,7,7,7
